round_epochs,loss,accuracy,val_loss,val_accuracy,lr,activation,cumulative,dropout,nfilters_1,nfilters_2,nodes_1,nodes_2,shape_1,shape_2,t_step
20,0.6027812957763672,0.6797333359718323,1.0226913690567017,0.5023333430290222,1e-06,elu,False,0.8,64,96,64,32,5,3,0.0099
20,0.5777109861373901,0.7100666761398315,1.1271783113479614,0.5023333430290222,1e-06,elu,True,0.4,64,96,64,32,5,3,0.0099
20,0.5679510235786438,0.7157999873161316,0.9659607410430908,0.508733332157135,1e-06,elu,True,0.8,64,96,64,32,5,3,0.0099
20,0.6195653080940247,0.6610666513442993,0.8173730373382568,0.5022000074386597,1e-06,elu,False,0.4,64,96,64,32,5,3,0.00249
20,0.5706793665885925,0.7164000272750854,1.108031153678894,0.5004000067710876,1e-06,elu,True,0.6,64,96,64,32,5,3,0.0099
20,0.6033985614776611,0.6812666654586792,0.8586108684539795,0.38526666164398193,1e-06,elu,False,0.6,64,96,64,32,5,3,0.0049
20,0.5993219017982483,0.6814666390419006,1.2524023056030273,0.5034000277519226,1e-06,elu,False,0.6,64,96,64,32,5,3,0.00249
20,0.5713510513305664,0.7137333154678345,0.7202028632164001,0.5306000113487244,1e-06,elu,False,0.6,64,96,64,32,5,3,0.0249
20,0.6078093647956848,0.6753333210945129,0.8289446830749512,0.5441333055496216,1e-06,elu,False,0.8,64,96,64,32,5,3,0.0049
20,0.6028146743774414,0.6814666390419006,2.959824562072754,0.5,1e-06,elu,False,0.4,64,96,64,32,5,3,0.0049
20,0.5615112781524658,0.7229333519935608,0.9807097911834717,0.5146666765213013,1e-06,elu,True,0.4,64,96,64,32,5,3,0.049
20,0.591060221195221,0.6950666904449463,0.6829164624214172,0.6227999925613403,1e-06,elu,False,0.4,64,96,64,32,5,3,0.0099
20,0.6037899255752563,0.6844666600227356,1.2269402742385864,0.5243333578109741,1e-06,elu,False,0.8,64,96,64,32,5,3,0.0249
20,0.5914960503578186,0.6959333419799805,0.9533808827400208,0.5013333559036255,1e-06,elu,True,0.4,64,96,64,32,5,3,0.0049
20,0.5529946684837341,0.7284666895866394,0.9868810176849365,0.5042666792869568,1e-06,elu,True,0.8,64,96,64,32,5,3,0.049
