round_epochs,loss,accuracy,val_loss,val_accuracy,lr,activation,cumulative,nfilters_1,nfilters_2,nodes_1,nodes_2,shape_1,shape_2,t_step
20,0.6018089652061462,0.6834999918937683,0.7266684174537659,0.5527999997138977,1e-06,elu,True,32,64,64,32,3,2,0.00249
20,0.6118834614753723,0.667900025844574,0.9552311301231384,0.5027999877929688,1e-06,elu,False,32,64,64,32,3,2,0.049
20,0.5803078413009644,0.7077999711036682,0.6745984554290771,0.608299970626831,1e-06,elu,True,32,64,64,32,3,3,0.049
20,0.6077462434768677,0.6772000193595886,0.7830027937889099,0.5108000040054321,1e-06,elu,True,32,64,64,32,3,3,0.00249
20,0.6121883988380432,0.664900004863739,0.8763594031333923,0.6370999813079834,1e-06,elu,False,32,64,64,32,3,2,0.0099
20,0.6321768164634705,0.6434999704360962,0.7367306351661682,0.5259000062942505,1e-06,elu,False,32,64,64,32,2,3,0.0049
20,0.6088983416557312,0.6736999750137329,0.7373248338699341,0.5277000069618225,1e-06,elu,False,32,64,64,32,3,2,0.0249
20,0.5933682918548584,0.6899999976158142,0.6685238480567932,0.6021999716758728,1.6000001e-06,elu,False,32,64,64,32,2,3,0.049
20,0.6117076873779297,0.6654999852180481,1.0035570859909058,0.503600001335144,1e-06,elu,False,32,64,64,32,3,2,0.0049
20,0.6074723601341248,0.6700000166893005,0.695854902267456,0.585099995136261,1e-06,elu,False,32,64,64,32,2,3,0.0099
20,0.5903267860412598,0.6962000131607056,0.7698315382003784,0.46369999647140503,1e-06,elu,True,32,64,64,32,3,3,0.0099
20,0.624851644039154,0.6492000222206116,0.9415299892425537,0.5004000067710876,1e-06,elu,False,32,64,64,32,3,3,0.0049
20,0.570924699306488,0.7125999927520752,0.7595421075820923,0.5145000219345093,1e-06,elu,True,32,64,64,32,2,3,0.049
20,0.6133801937103271,0.6657999753952026,0.6863234043121338,0.621999979019165,1e-06,elu,False,32,64,64,32,2,2,0.0099
20,0.6064924597740173,0.6751999855041504,0.6712618470191956,0.6083999872207642,1e-06,elu,False,32,64,64,32,2,3,0.0249
20,0.600313663482666,0.6825000047683716,0.7306717038154602,0.5157999992370605,1e-06,elu,True,32,64,64,32,2,2,0.049
20,0.599699854850769,0.6870999932289124,0.7964738011360168,0.5411999821662903,1e-06,elu,True,32,64,64,32,3,2,0.0049
20,0.6217672228813171,0.6521999835968018,1.095394492149353,0.49939998984336853,1e-06,elu,False,32,64,64,32,3,3,0.049
20,0.6311870813369751,0.6409000158309937,1.3372362852096558,0.5,1e-06,elu,False,32,64,64,32,3,3,0.00249
20,0.5952905416488647,0.6912999749183655,0.7982773780822754,0.5091999769210815,1e-06,elu,True,32,64,64,32,2,3,0.00249
