round_epochs,loss,accuracy,val_loss,val_accuracy,lr,activation,cumulative,dropout,nfilters_1,nfilters_2,nodes_1,nodes_2,shape_1,shape_2,t_step
20,0.6193615794181824,0.6610666513442993,0.816708505153656,0.5008666515350342,1e-06,elu,False,0.8,64,96,64,32,5,3,0.00249
20,0.5519933104515076,0.7255333065986633,0.7589592337608337,0.6521333456039429,1e-06,elu,True,0.6,64,96,64,32,5,3,0.0099
20,0.6114565134048462,0.6748666763305664,2.420325517654419,0.5,1e-06,elu,False,0.4,64,96,64,32,5,3,0.0099
20,0.5892223119735718,0.699400007724762,1.0316256284713745,0.4793333411216736,1e-06,elu,True,0.4,64,96,64,32,5,3,0.0049
20,0.5649589896202087,0.7192000150680542,0.8060529828071594,0.5155333280563354,1e-06,elu,True,0.8,64,96,64,32,5,3,0.049
20,0.6066654920578003,0.6754000186920166,0.9785153269767761,0.5004666447639465,1e-06,elu,False,0.4,64,96,64,32,5,3,0.00249
20,0.560589611530304,0.724399983882904,0.6809552907943726,0.6155333518981934,1.6000001e-06,elu,True,0.4,64,96,64,32,5,3,0.0249
20,0.5589148998260498,0.722000002861023,0.8811578154563904,0.5646666884422302,1e-06,elu,True,0.8,64,96,64,32,5,3,0.0249
20,0.5936982035636902,0.6895333528518677,0.902137815952301,0.5085999965667725,1e-06,elu,False,0.4,64,96,64,32,5,3,0.049
20,0.591060996055603,0.6981333494186401,0.8129935264587402,0.5173333287239075,1e-06,elu,True,0.8,64,96,64,32,5,3,0.00249
20,0.5968318581581116,0.6887999773025513,0.6677438020706177,0.6204000115394592,1e-06,elu,False,0.6,64,96,64,32,5,3,0.0099
20,0.5972945690155029,0.6923333406448364,0.9342582821846008,0.5183333158493042,1e-06,elu,True,0.4,64,96,64,32,5,3,0.00249
20,0.6111260056495667,0.6732000112533569,1.5366642475128174,0.5,1e-06,elu,False,0.8,64,96,64,32,5,3,0.0099
20,0.5680633187294006,0.718666672706604,0.8573401570320129,0.6176000237464905,1e-06,elu,True,0.4,64,96,64,32,5,3,0.049
20,0.577029287815094,0.7124000191688538,0.762336790561676,0.5289999842643738,1e-06,elu,True,0.6,64,96,64,32,5,3,0.0249
