round_epochs,loss,accuracy,auc,val_loss,val_accuracy,val_auc,lr,activation,nfilters_1,nfilters_2,nfilters_3,nfilters_4,nodes_1,nodes_2,shape_1,shape_2,shape_3,shape_4,t_step
20,0.6478679180145264,0.6207000017166138,0.6685581803321838,0.6642446517944336,0.6039000153541565,0.6417208909988403,1.6000001e-06,elu,96,96,64,64,96,96,1,3,1,1,0.0249
20,0.6008210182189941,0.6861000061035156,0.7408526539802551,0.7859944105148315,0.5212000012397766,0.5972893238067627,1e-06,elu,32,64,64,32,96,32,5,3,1,1,0.0249
20,0.6041237711906433,0.6784999966621399,0.7353963255882263,1.0147826671600342,0.5,0.5908134579658508,1e-06,elu,32,32,64,96,64,96,3,5,3,1,0.00249
20,0.573050856590271,0.7131999731063843,0.7710968852043152,0.7725792527198792,0.5029000043869019,0.5658307075500488,1e-06,elu,64,32,96,96,64,32,5,5,5,5,0.0249
20,0.5952538847923279,0.6913999915122986,0.7466898560523987,0.6866629123687744,0.5706999897956848,0.6308725476264954,1e-06,elu,32,32,32,64,64,64,3,5,3,1,0.0249
20,0.6565827131271362,0.6061999797821045,0.6462143659591675,0.9871997833251953,0.5,0.5604003071784973,1e-06,elu,96,96,64,32,96,96,1,1,3,5,0.0099
20,0.618971049785614,0.6607999801635742,0.7163015007972717,0.6449529528617859,0.6345000267028809,0.6798816919326782,1e-06,elu,96,96,64,32,64,32,3,1,5,3,0.00249
20,0.5899662375450134,0.6947000026702881,0.7532574534416199,0.639478325843811,0.6324999928474426,0.687166690826416,1e-06,elu,32,96,96,64,32,32,3,5,3,1,0.0249
20,0.59586501121521,0.6904000043869019,0.7468608021736145,0.6945054531097412,0.5444999933242798,0.6179720759391785,1e-06,elu,64,96,64,64,96,64,5,5,5,1,0.0099
20,0.5887323617935181,0.699999988079071,0.7535513043403625,0.6375967860221863,0.6643000245094299,0.7032082080841064,1e-06,elu,64,64,64,96,64,32,5,3,5,1,0.0249
20,0.5885884761810303,0.7009000182151794,0.7550362348556519,0.638541042804718,0.6452000141143799,0.6908698081970215,1e-06,elu,96,32,32,64,64,96,5,5,3,3,0.0099
20,0.654870867729187,0.609000027179718,0.6511540412902832,0.6861019134521484,0.5170999765396118,0.5704069137573242,1e-06,elu,32,32,32,96,96,64,1,1,3,5,0.0049
20,0.6683228015899658,0.5924000144004822,0.6197822690010071,0.7023438215255737,0.5453000068664551,0.5736874341964722,1e-06,elu,96,32,64,96,64,32,1,1,1,1,0.0249
20,0.6206985712051392,0.6606000065803528,0.7143527865409851,0.6784247756004333,0.5960000157356262,0.6367166042327881,1.6000001e-06,elu,96,96,64,64,64,64,3,3,1,1,0.00249
20,0.5902643799781799,0.6948000192642212,0.7527440786361694,0.7340850234031677,0.5649999976158142,0.5856296420097351,1e-06,elu,96,32,64,32,64,96,5,5,1,5,0.0049
20,0.5947381258010864,0.6917999982833862,0.7475612759590149,0.6444220542907715,0.6328999996185303,0.6784006953239441,1e-06,elu,32,32,32,32,32,64,5,5,3,5,0.0099
20,0.6102598905563354,0.6743999719619751,0.7286874651908875,0.6314529180526733,0.6567000150680542,0.7059513330459595,1.6000001e-06,elu,96,96,64,64,96,96,5,5,1,1,0.0049
20,0.6339588165283203,0.6434999704360962,0.6915946006774902,0.7743673324584961,0.5181999802589417,0.5819646120071411,1e-06,elu,64,32,32,64,32,96,1,3,3,1,0.0049
20,0.6368398666381836,0.6406999826431274,0.6874091625213623,0.7056081295013428,0.5378000140190125,0.5737910866737366,1e-06,elu,64,32,64,32,96,64,1,3,1,5,0.00249
20,0.5799521207809448,0.7045999765396118,0.7639648914337158,0.7458791732788086,0.5565999746322632,0.6180515289306641,8.000001e-06,elu,64,64,96,64,64,32,5,5,5,1,0.0049
20,0.6004472374916077,0.6859999895095825,0.7405029535293579,0.6453115940093994,0.6474000215530396,0.6903634667396545,1e-06,elu,96,96,96,32,96,96,5,5,1,1,0.0049
20,0.6215275526046753,0.6606000065803528,0.7129551768302917,0.6904000043869019,0.5564000010490417,0.609423816204071,1e-06,elu,32,64,32,96,64,32,5,3,1,3,0.00249
20,0.6378936767578125,0.6402000188827515,0.6866101622581482,0.6823422908782959,0.564300000667572,0.6033902764320374,1e-06,elu,32,96,32,32,64,64,1,3,1,3,0.0049
